********************************************************************************
Field Output Report, written Tue May 12 11:38:49 2026

Source 1
---------

   ODB: C:/Temp/ABAQUS/Enrico_test_flow/Flow_in_pipe.odb
   Step: Heat_transfer_step
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PIPE-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label        HFL.HFL1        HFL.HFL2        HFL.HFL3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             118     210.696E-03         1.01495    -154.843E-03
             119     187.029E-03         1.01775    -168.897E-03
             120     166.622E-03         1.01948    -172.934E-03
             121     133.501E-03         1.02057    -173.752E-03
             122     113.776E-03         1.02139    -158.870E-03
             123     83.7221E-03         1.02596    -141.470E-03
             124     59.7323E-03         1.02710    -114.766E-03
             125     44.1934E-03         1.02686    -80.0674E-03
             126     32.4230E-03         1.03499    -36.9393E-03
             127     122.301E-03         1.24497     799.918E-06
             128     272.802E-03         1.38365    -21.1990E-06
             129     440.284E-03         1.45692     602.269E-06
             130     611.726E-03         1.48034     594.657E-06
             131     780.788E-03         1.46318     484.259E-06
             132     944.684E-03         1.41003     1.43876E-03
             133         1.08899         1.32762     361.157E-06
             134         1.21811         1.21812     621.661E-06
             135         1.32693         1.08728     625.372E-06
             136         1.40990     940.096E-03     875.101E-06
             137         1.46128     778.539E-03     241.413E-06
             138         1.47799     617.496E-03     337.047E-06
             139         1.45971     441.117E-03     632.015E-06
             140         1.38597     271.371E-03     326.645E-06
             141         1.24534     119.192E-03     739.236E-06
             142         1.00091     223.094E-03    -105.679E-03
             143     992.388E-03     251.750E-03    -114.538E-03
             144     999.566E-03     272.142E-03    -108.803E-03
             145         1.00029     282.329E-03    -87.3090E-03
             146     999.601E-03     281.648E-03    -55.4605E-03
             147         1.00015     268.633E-03    -22.0777E-03
             148         1.00001     246.152E-03     9.12777E-03
             149     999.855E-03     217.855E-03     34.0884E-03
             150     999.183E-03     184.774E-03     50.9771E-03
             151     998.232E-03     148.886E-03     61.1888E-03
             152     998.832E-03     74.0411E-03    -20.0737E-03
             153     998.491E-03     85.7261E-03    -39.1711E-03
             154     998.096E-03     105.390E-03    -53.7163E-03
             155     999.066E-03     135.657E-03    -58.6437E-03
             156         1.00046     167.920E-03    -55.9254E-03
             157     999.717E-03     201.481E-03    -43.7690E-03
